,phoenix_flux
0.5342999999999962,2481506.664041037
0.5343999999999962,2571734.509674403
0.5344999999999962,2661962.3553077686
0.5345999999999962,2752190.2009411342
0.5346999999999962,2842418.0465744995
0.5347999999999962,2932645.892207865
0.5348999999999962,3037219.9727817117
0.5349999999999961,3213656.6551770605
0.5350999999999961,3390093.3375724093
0.5351999999999961,3566530.019967758
0.5352999999999961,3742966.7023631064
0.5353999999999961,3919403.3847584557
0.5354999999999961,4095840.067153804
0.5355999999999961,4272276.749549153
0.5356999999999961,4065867.1529024546
0.5357999999999961,3834047.014384395
0.535899999999996,3602226.8758663354
0.535999999999996,3370406.7373482753
0.536099999999996,3138586.5988302156
0.536199999999996,2906766.460312156
0.536299999999996,2674946.3217940964
0.536399999999996,2600134.2572879083
0.536499999999996,2592824.5978965242
0.536599999999996,2585514.93850514
0.536699999999996,2578205.279113756
0.536799999999996,2570895.619722372
0.5368999999999959,2563585.960330988
0.5369999999999959,2556276.300939604
0.5370999999999959,2640268.9931658856
0.5371999999999959,2835345.427954938
0.5372999999999959,3030421.8627439896
0.5373999999999959,3225498.297533042
0.5374999999999959,3420574.732322094
0.5375999999999959,3615651.167111146
0.5376999999999958,3810727.6019001976
0.5377999999999958,3934160.892250196
0.5378999999999958,3758276.1566318944
0.5379999999999958,3582391.421013593
0.5380999999999958,3406506.685395292
0.5381999999999958,3230621.9497769903
0.5382999999999958,3054737.214158689
0.5383999999999958,2878852.478540388
0.5384999999999958,2702967.7429220863
0.5385999999999957,2874505.660394591
0.5386999999999957,3074083.7094852943
0.5387999999999957,3273661.758575998
0.5388999999999957,3473239.8076667013
0.5389999999999957,3672817.8567574043
0.5390999999999957,3872395.9058481078
0.5391999999999957,4071973.9549388113
0.5392999999999957,3956861.1806284343
0.5393999999999957,3670570.177519794
0.5394999999999956,3384279.174411154
0.5395999999999956,3097988.1713025137
0.5396999999999956,2811697.168193873
0.5397999999999956,2525406.165085233
0.5398999999999956,2239115.1619765926
0.5399999999999956,2024921.0979535861
0.5400999999999956,1938777.5074297518
0.5401999999999956,1852633.9169059175
0.5402999999999956,1766490.326382083
0.5403999999999956,1680346.7358582485
0.5404999999999955,1594203.1453344142
0.5405999999999955,1508059.5548105799
0.5406999999999955,1439401.510321847
0.5407999999999955,1631233.0423318562
0.5408999999999955,1823064.5743418655
0.5409999999999955,2014896.1063518748
0.5410999999999955,2206727.6383618843
0.5411999999999955,2398559.1703718933
0.5412999999999955,2590390.702381903
0.5413999999999954,2782222.234391912
0.5414999999999954,2835310.86891297
0.5415999999999954,2843553.3752
0.5416999999999954,2851795.88148703
0.5417999999999954,2860038.38777406
0.5418999999999954,2868280.89406109
0.5419999999999954,2876523.40034812
0.5420999999999954,2884765.90663515
0.5421999999999954,2882663.008248627
0.5422999999999953,2867322.0712252045
0.5423999999999953,2851981.1342017814
0.5424999999999953,2836640.1971783587
0.5425999999999953,2821299.2601549355
0.5426999999999953,2805958.323131513
0.5427999999999953,2790617.38610809
0.5428999999999953,2753173.0588483107
0.5429999999999953,2540004.717439226
0.5430999999999953,2326836.3760301406
0.5431999999999952,2113668.0346210552
0.5432999999999952,1900499.6932119704
0.5433999999999952,1687331.351802885
0.5434999999999952,1474163.0103938
0.5435999999999952,1260994.668984715
0.5436999999999952,1565384.919114998
0.5437999999999952,2020131.4649068757
0.5438999999999952,2474878.0106987534
0.5439999999999952,2929624.556490631
0.5440999999999951,3384371.1022825083
0.5441999999999951,3839117.6480743857
0.5442999999999951,4293864.193866263
0.5443999999999951,4418423.633780947
0.5444999999999951,4101935.7464599777
0.5445999999999951,3785447.8591390084
0.5446999999999951,3468959.971818039
0.5447999999999951,3152472.08449707
0.544899999999995,2835984.197176101
0.544999999999995,2519496.309855132
0.545099999999995,2223055.144984549
0.545199999999995,2187175.106782174
0.545299999999995,2151295.0685798
0.545399999999995,2115415.0303774257
0.545499999999995,2079534.992175051
0.545599999999995,2043654.9539726768
0.545699999999995,2007774.9157703023
0.545799999999995,1971894.8775679278
0.545899999999995,1992857.302015463
0.5459999999999949,2037626.551629452
0.5460999999999949,2082395.8012434414
0.5461999999999949,2127165.050857431
0.5462999999999949,2171934.30047142
0.5463999999999949,2216703.550085409
0.5464999999999949,2261472.799699398
0.5465999999999949,2327144.5169676
0.5466999999999949,2435597.116502452
0.5467999999999948,2544049.716037304
0.5468999999999948,2652502.3155721556
0.5469999999999948,2760954.9151070076
0.5470999999999948,2869407.5146418596
0.5471999999999948,2977860.1141767115
0.5472999999999948,3086312.7137115635
0.5473999999999948,3065923.1791416104
